# Hawking Spectrum LUT
"# Columns: Temperature [K], Red, Green, Blue (normalized)"
Temperature_K,Red,Green,Blue
1.000000e+03,1.000000,0.010515,0.000039
1.084661e+03,1.000000,0.016532,0.000105
1.176490e+03,1.000000,0.025090,0.000258
1.276093e+03,1.000000,0.036858,0.000591
1.384129e+03,1.000000,0.052545,0.001271
1.501311e+03,1.000000,0.072864,0.002576
1.628414e+03,1.000000,0.098493,0.004939
1.766277e+03,1.000000,0.130042,0.009001
1.915812e+03,1.000000,0.168011,0.015652
2.078007e+03,1.000000,0.212766,0.026068
2.253934e+03,1.000000,0.264514,0.041720
2.444755e+03,1.000000,0.323290,0.064359
2.651731e+03,1.000000,0.388953,0.095970
2.876229e+03,1.000000,0.461185,0.138691
3.119735e+03,1.000000,0.539500,0.194702
3.383855e+03,1.000000,0.623257,0.266094
3.670336e+03,1.000000,0.711679,0.354723
3.981072e+03,1.000000,0.803878,0.462065
4.318114e+03,1.000000,0.898882,0.589081
4.683691e+03,1.000000,0.995670,0.736116
5.080218e+03,0.914739,1.000000,0.825854
5.510316e+03,0.839994,1.000000,0.914070
5.976826e+03,0.774903,0.996954,1.000000
6.482831e+03,0.663372,0.915821,1.000000
7.031676e+03,0.575915,0.847598,1.000000
7.626986e+03,0.506526,0.789927,1.000000
8.272696e+03,0.450873,0.740942,1.000000
8.973072e+03,0.405788,0.699149,1.000000
9.732744e+03,0.368925,0.663348,1.000000
1.055673e+04,0.338524,0.632560,1.000000
1.145048e+04,0.313253,0.605988,1.000000
1.241989e+04,0.292090,0.582975,1.000000
1.347137e+04,0.274244,0.562979,1.000000
1.461187e+04,0.259099,0.545548,1.000000
1.584893e+04,0.246170,0.530307,1.000000
1.719072e+04,0.235070,0.516941,1.000000
1.864611e+04,0.225492,0.505186,1.000000
2.022471e+04,0.217187,0.494820,1.000000
2.193696e+04,0.209954,0.485654,1.000000
2.379417e+04,0.203627,0.477528,1.000000
2.580862e+04,0.198072,0.470307,1.000000
2.799360e+04,0.193177,0.463876,1.000000
3.036358e+04,0.188849,0.458135,1.000000
3.293420e+04,0.185011,0.452999,1.000000
3.572245e+04,0.181597,0.448396,1.000000
3.874675e+04,0.178552,0.444262,1.000000
4.202710e+04,0.175830,0.440543,1.000000
4.558516e+04,0.173390,0.437192,1.000000
4.944446e+04,0.171199,0.434167,1.000000
5.363049e+04,0.169227,0.431433,1.000000
5.817091e+04,0.167449,0.428958,1.000000
6.309573e+04,0.165844,0.426714,1.000000
6.843750e+04,0.164392,0.424679,1.000000
7.423150e+04,0.163077,0.422829,1.000000
8.051603e+04,0.161884,0.421147,1.000000
8.733262e+04,0.160801,0.419616,1.000000
9.472630e+04,0.159816,0.418220,1.000000
1.027459e+05,0.158920,0.416948,1.000000
1.114445e+05,0.158103,0.415786,1.000000
1.208796e+05,0.157358,0.414725,1.000000
1.311134e+05,0.156678,0.413755,1.000000
1.422136e+05,0.156057,0.412868,1.000000
1.542536e+05,0.155490,0.412056,1.000000
1.673129e+05,0.154971,0.411312,1.000000
1.814778e+05,0.154496,0.410631,1.000000
1.968419e+05,0.154061,0.410006,1.000000
2.135068e+05,0.153662,0.409434,1.000000
2.315826e+05,0.153297,0.408909,1.000000
2.511886e+05,0.152961,0.408426,1.000000
2.724546e+05,0.152654,0.407984,1.000000
2.955209e+05,0.152372,0.407577,1.000000
3.205401e+05,0.152113,0.407204,1.000000
3.476774e+05,0.151875,0.406861,1.000000
3.771122e+05,0.151656,0.406545,1.000000
4.090390e+05,0.151455,0.406256,1.000000
4.436687e+05,0.151271,0.405989,1.000000
4.812303e+05,0.151101,0.405744,1.000000
5.219718e+05,0.150945,0.405518,1.000000
5.661626e+05,0.150801,0.405311,1.000000
6.140946e+05,0.150669,0.405120,1.000000
6.660846e+05,0.150548,0.404944,1.000000
7.224762e+05,0.150436,0.404782,1.000000
7.836419e+05,0.150333,0.404633,1.000000
8.499860e+05,0.150238,0.404496,1.000000
9.219468e+05,0.150151,0.404370,1.000000
1.000000e+06,0.150071,0.404254,1.000000
1.084661e+06,0.149997,0.404146,1.000000
1.176490e+06,0.149929,0.404048,1.000000
1.276093e+06,0.149866,0.403957,1.000000
1.384129e+06,0.149808,0.403873,1.000000
1.501311e+06,0.149755,0.403796,1.000000
1.628414e+06,0.149706,0.403725,1.000000
1.766277e+06,0.149661,0.403660,1.000000
1.915812e+06,0.149619,0.403599,1.000000
2.078007e+06,0.149581,0.403544,1.000000
2.253934e+06,0.149546,0.403493,1.000000
2.444755e+06,0.149513,0.403446,1.000000
2.651731e+06,0.149483,0.403402,1.000000
2.876229e+06,0.149455,0.403362,1.000000
3.119735e+06,0.149430,0.403325,1.000000
3.383855e+06,0.149406,0.403291,1.000000
3.670336e+06,0.149385,0.403260,1.000000
3.981072e+06,0.149365,0.403231,1.000000
4.318114e+06,0.149347,0.403204,1.000000
4.683691e+06,0.149330,0.403180,1.000000
5.080218e+06,0.149314,0.403157,1.000000
5.510316e+06,0.149300,0.403136,1.000000
5.976826e+06,0.149286,0.403117,1.000000
6.482831e+06,0.149274,0.403099,1.000000
7.031676e+06,0.149263,0.403083,1.000000
7.626986e+06,0.149252,0.403068,1.000000
8.272696e+06,0.149243,0.403054,1.000000
8.973072e+06,0.149234,0.403041,1.000000
9.732744e+06,0.149226,0.403029,1.000000
1.055673e+07,0.149218,0.403018,1.000000
1.145048e+07,0.149212,0.403008,1.000000
1.241989e+07,0.149205,0.402999,1.000000
1.347137e+07,0.149199,0.402991,1.000000
1.461187e+07,0.149194,0.402983,1.000000
1.584893e+07,0.149189,0.402975,1.000000
1.719072e+07,0.149184,0.402969,1.000000
1.864611e+07,0.149180,0.402963,1.000000
2.022471e+07,0.149176,0.402957,1.000000
2.193696e+07,0.149173,0.402952,1.000000
2.379417e+07,0.149169,0.402947,1.000000
2.580862e+07,0.149166,0.402942,1.000000
2.799360e+07,0.149163,0.402938,1.000000
3.036358e+07,0.149161,0.402935,1.000000
3.293420e+07,0.149158,0.402931,1.000000
3.572245e+07,0.149156,0.402928,1.000000
3.874675e+07,0.149154,0.402925,1.000000
4.202710e+07,0.149152,0.402922,1.000000
4.558516e+07,0.149150,0.402920,1.000000
4.944446e+07,0.149149,0.402917,1.000000
5.363049e+07,0.149147,0.402915,1.000000
5.817091e+07,0.149146,0.402913,1.000000
6.309573e+07,0.149145,0.402911,1.000000
6.843750e+07,0.149144,0.402910,1.000000
7.423150e+07,0.149143,0.402908,1.000000
8.051603e+07,0.149142,0.402907,1.000000
8.733262e+07,0.149141,0.402905,1.000000
9.472630e+07,0.149140,0.402904,1.000000
1.027459e+08,0.149139,0.402903,1.000000
1.114445e+08,0.149138,0.402902,1.000000
1.208796e+08,0.149138,0.402901,1.000000
1.311134e+08,0.149137,0.402900,1.000000
1.422136e+08,0.149137,0.402899,1.000000
1.542536e+08,0.149136,0.402899,1.000000
1.673129e+08,0.149136,0.402898,1.000000
1.814778e+08,0.149135,0.402897,1.000000
1.968419e+08,0.149135,0.402897,1.000000
2.135068e+08,0.149134,0.402896,1.000000
2.315826e+08,0.149134,0.402896,1.000000
2.511886e+08,0.149134,0.402895,1.000000
2.724546e+08,0.149133,0.402895,1.000000
2.955209e+08,0.149133,0.402895,1.000000
3.205401e+08,0.149133,0.402894,1.000000
3.476774e+08,0.149133,0.402894,1.000000
3.771122e+08,0.149132,0.402894,1.000000
4.090390e+08,0.149132,0.402893,1.000000
4.436687e+08,0.149132,0.402893,1.000000
4.812303e+08,0.149132,0.402893,1.000000
5.219718e+08,0.149132,0.402893,1.000000
5.661626e+08,0.149132,0.402892,1.000000
6.140946e+08,0.149131,0.402892,1.000000
6.660846e+08,0.149131,0.402892,1.000000
7.224762e+08,0.149131,0.402892,1.000000
7.836419e+08,0.149131,0.402892,1.000000
8.499860e+08,0.149131,0.402892,1.000000
9.219468e+08,0.149131,0.402891,1.000000
1.000000e+09,0.149131,0.402891,1.000000
1.084661e+09,0.149131,0.402891,1.000000
1.176490e+09,0.149131,0.402891,1.000000
1.276093e+09,0.149131,0.402891,1.000000
1.384129e+09,0.149131,0.402891,1.000000
1.501311e+09,0.149131,0.402891,1.000000
1.628414e+09,0.149131,0.402891,1.000000
1.766277e+09,0.149130,0.402891,1.000000
1.915812e+09,0.149130,0.402891,1.000000
2.078007e+09,0.149130,0.402891,1.000000
2.253934e+09,0.149130,0.402891,1.000000
2.444755e+09,0.149130,0.402891,1.000000
2.651731e+09,0.149130,0.402890,1.000000
2.876229e+09,0.149130,0.402890,1.000000
3.119735e+09,0.149130,0.402890,1.000000
3.383855e+09,0.149130,0.402890,1.000000
3.670336e+09,0.149130,0.402890,1.000000
3.981072e+09,0.149130,0.402890,1.000000
4.318114e+09,0.149130,0.402890,1.000000
4.683691e+09,0.149130,0.402890,1.000000
5.080218e+09,0.149130,0.402890,1.000000
5.510316e+09,0.149130,0.402890,1.000000
5.976826e+09,0.149130,0.402890,1.000000
6.482831e+09,0.149130,0.402890,1.000000
7.031676e+09,0.149130,0.402890,1.000000
7.626986e+09,0.149130,0.402890,1.000000
8.272696e+09,0.149130,0.402890,1.000000
8.973072e+09,0.149130,0.402890,1.000000
9.732744e+09,0.149130,0.402890,1.000000
1.055673e+10,0.149130,0.402890,1.000000
1.145048e+10,0.149130,0.402890,1.000000
1.241989e+10,0.149130,0.402890,1.000000
1.347137e+10,0.149130,0.402890,1.000000
1.461187e+10,0.149130,0.402890,1.000000
1.584893e+10,0.149130,0.402890,1.000000
1.719072e+10,0.149130,0.402890,1.000000
1.864611e+10,0.149130,0.402890,1.000000
2.022471e+10,0.149130,0.402890,1.000000
2.193696e+10,0.149130,0.402890,1.000000
2.379417e+10,0.149130,0.402890,1.000000
2.580862e+10,0.149130,0.402890,1.000000
2.799360e+10,0.149130,0.402890,1.000000
3.036358e+10,0.149130,0.402890,1.000000
3.293420e+10,0.149130,0.402890,1.000000
3.572245e+10,0.149130,0.402890,1.000000
3.874675e+10,0.149130,0.402890,1.000000
4.202710e+10,0.149130,0.402890,1.000000
4.558516e+10,0.149130,0.402890,1.000000
4.944446e+10,0.149130,0.402890,1.000000
5.363049e+10,0.149130,0.402890,1.000000
5.817091e+10,0.149130,0.402890,1.000000
6.309573e+10,0.149130,0.402890,1.000000
6.843750e+10,0.149130,0.402890,1.000000
