# Hawking Spectrum LUT
"# Columns: Temperature [K], Red, Green, Blue (normalized)"
7.423150e+10,0.149130,0.402890,1.000000
8.051603e+10,0.149130,0.402890,1.000000
8.733262e+10,0.149130,0.402890,1.000000
9.472630e+10,0.149130,0.402890,1.000000
1.027459e+11,0.149130,0.402890,1.000000
1.114445e+11,0.149130,0.402890,1.000000
1.208796e+11,0.149130,0.402890,1.000000
1.311134e+11,0.149130,0.402890,1.000000
1.422136e+11,0.149130,0.402890,1.000000
1.542536e+11,0.149130,0.402890,1.000000
1.673129e+11,0.149130,0.402890,1.000000
1.814778e+11,0.149130,0.402890,1.000000
1.968419e+11,0.149130,0.402890,1.000000
2.135068e+11,0.149130,0.402890,1.000000
2.315826e+11,0.149130,0.402890,1.000000
2.511886e+11,0.149130,0.402890,1.000000
2.724546e+11,0.149130,0.402890,1.000000
2.955209e+11,0.149130,0.402890,1.000000
3.205401e+11,0.149130,0.402890,1.000000
3.476774e+11,0.149130,0.402890,1.000000
3.771122e+11,0.149130,0.402890,1.000000
4.090390e+11,0.149130,0.402890,1.000000
4.436687e+11,0.149130,0.402890,1.000000
4.812303e+11,0.149130,0.402890,1.000000
5.219718e+11,0.149130,0.402890,1.000000
5.661626e+11,0.149130,0.402890,1.000000
6.140946e+11,0.149130,0.402890,1.000000
6.660846e+11,0.149130,0.402890,1.000000
7.224762e+11,0.149130,0.402890,1.000000
7.836419e+11,0.149130,0.402890,1.000000
8.499860e+11,0.149130,0.402890,1.000000
9.219468e+11,0.149130,0.402890,1.000000
1.000000e+12,0.149130,0.402890,1.000000
