# Hawking Temperature LUT
"# Columns: Mass [g], Temperature [K], Schwarzschild Radius [cm]"
1.820849e+31,6.738069e-06,2.704384e+03
2.065706e+31,5.939377e-06,3.068053e+03
2.343490e+31,5.235358e-06,3.480626e+03
2.658628e+31,4.614789e-06,3.948679e+03
3.016144e+31,4.067779e-06,4.479674e+03
3.421737e+31,3.585608e-06,5.082073e+03
3.881871e+31,3.160591e-06,5.765479e+03
4.403881e+31,2.785953e-06,6.540786e+03
4.996089e+31,2.455722e-06,7.420351e+03
5.667932e+31,2.164635e-06,8.418195e+03
6.430121e+31,1.908052e-06,9.550223e+03
7.294805e+31,1.681883e-06,1.083448e+04
8.275766e+31,1.482522e-06,1.229143e+04
9.388641e+31,1.306793e-06,1.394431e+04
1.065117e+32,1.151893e-06,1.581946e+04
1.208347e+32,1.015354e-06,1.794676e+04
1.370839e+32,8.950001e-07,2.036013e+04
1.555181e+32,7.889120e-07,2.309804e+04
1.764312e+32,6.953990e-07,2.620412e+04
2.001566e+32,6.129705e-07,2.972790e+04
2.270724e+32,5.403125e-07,3.372552e+04
2.576077e+32,4.762670e-07,3.826073e+04
2.922493e+32,4.198131e-07,4.340580e+04
3.315492e+32,3.700509e-07,4.924275e+04
3.761339e+32,3.261872e-07,5.586461e+04
4.267141e+32,2.875229e-07,6.337694e+04
4.840960e+32,2.534416e-07,7.189949e+04
5.491943e+32,2.234001e-07,8.156810e+04
6.230466e+32,1.969196e-07,9.253688e+04
7.068302e+32,1.735779e-07,1.049807e+05
8.018804e+32,1.530030e-07,1.190978e+05
9.097124e+32,1.348669e-07,1.351134e+05
1.032045e+33,1.188805e-07,1.532826e+05
1.170828e+33,1.047891e-07,1.738951e+05
1.328274e+33,9.236804e-08,1.972795e+05
1.506892e+33,8.141927e-08,2.238085e+05
1.709530e+33,7.176831e-08,2.539049e+05
1.939417e+33,6.326131e-08,2.880485e+05
2.200218e+33,5.576268e-08,3.267835e+05
2.496090e+33,4.915290e-08,3.707273e+05
2.831749e+33,4.332660e-08,4.205805e+05
3.212546e+33,3.819092e-08,4.771376e+05
3.644549e+33,3.366399e-08,5.413002e+05
4.134646e+33,2.967366e-08,6.140909e+05
4.690648e+33,2.615631e-08,6.966701e+05
5.321418e+33,2.305590e-08,7.903541e+05
6.037010e+33,2.032298e-08,8.966361e+05
6.848831e+33,1.791402e-08,1.017210e+06
7.769820e+33,1.579059e-08,1.153999e+06
8.814658e+33,1.391887e-08,1.309181e+06
1.000000e+34,1.226901e-08,1.485232e+06
1.134474e+34,1.081471e-08,1.684957e+06
1.287031e+34,9.532797e-09,1.911540e+06
1.460103e+34,8.402835e-09,2.168592e+06
1.656449e+34,7.406812e-09,2.460211e+06
1.879198e+34,6.528852e-09,2.791045e+06
2.131901e+34,5.754960e-09,3.166368e+06
2.418587e+34,5.072800e-09,3.592162e+06
2.743823e+34,4.471500e-09,4.075215e+06
3.112796e+34,3.941474e-09,4.623225e+06
3.531386e+34,3.474275e-09,5.244928e+06
4.006265e+34,3.062455e-09,5.950234e+06
4.545004e+34,2.699449e-09,6.750385e+06
5.156188e+34,2.379472e-09,7.658136e+06
5.849561e+34,2.097423e-09,8.687956e+06
6.636175e+34,1.848807e-09,9.856259e+06
7.528567e+34,1.629660e-09,1.118167e+07
8.540963e+34,1.436490e-09,1.268531e+07
9.689500e+34,1.266217e-09,1.439116e+07
1.099249e+35,1.116127e-09,1.632639e+07
1.247069e+35,9.838276e-10,1.852187e+07
1.414767e+35,8.672104e-10,2.101257e+07
1.605016e+35,7.644163e-10,2.383822e+07
1.820849e+35,6.738069e-10,2.704384e+07
2.065706e+35,5.939377e-10,3.068053e+07
2.343490e+35,5.235358e-10,3.480626e+07
2.658628e+35,4.614789e-10,3.948679e+07
3.016144e+35,4.067779e-10,4.479674e+07
3.421737e+35,3.585608e-10,5.082073e+07
3.881871e+35,3.160591e-10,5.765479e+07
4.403881e+35,2.785953e-10,6.540786e+07
4.996089e+35,2.455722e-10,7.420351e+07
5.667932e+35,2.164635e-10,8.418195e+07
6.430121e+35,1.908052e-10,9.550223e+07
7.294805e+35,1.681883e-10,1.083448e+08
8.275766e+35,1.482522e-10,1.229143e+08
9.388641e+35,1.306793e-10,1.394431e+08
1.065117e+36,1.151893e-10,1.581946e+08
1.208347e+36,1.015354e-10,1.794676e+08
1.370839e+36,8.950001e-11,2.036013e+08
1.555181e+36,7.889120e-11,2.309804e+08
1.764312e+36,6.953990e-11,2.620412e+08
2.001566e+36,6.129705e-11,2.972790e+08
2.270724e+36,5.403125e-11,3.372552e+08
2.576077e+36,4.762670e-11,3.826073e+08
2.922493e+36,4.198131e-11,4.340580e+08
3.315492e+36,3.700509e-11,4.924275e+08
3.761339e+36,3.261872e-11,5.586461e+08
4.267141e+36,2.875229e-11,6.337694e+08
4.840960e+36,2.534416e-11,7.189949e+08
5.491943e+36,2.234001e-11,8.156810e+08
6.230466e+36,1.969196e-11,9.253688e+08
7.068302e+36,1.735779e-11,1.049807e+09
8.018804e+36,1.530030e-11,1.190978e+09
9.097124e+36,1.348669e-11,1.351134e+09
1.032045e+37,1.188805e-11,1.532826e+09
1.170828e+37,1.047891e-11,1.738951e+09
1.328274e+37,9.236804e-12,1.972795e+09
1.506892e+37,8.141927e-12,2.238085e+09
1.709530e+37,7.176831e-12,2.539049e+09
1.939417e+37,6.326131e-12,2.880485e+09
2.200218e+37,5.576268e-12,3.267835e+09
2.496090e+37,4.915290e-12,3.707273e+09
2.831749e+37,4.332660e-12,4.205805e+09
3.212546e+37,3.819092e-12,4.771376e+09
3.644549e+37,3.366399e-12,5.413002e+09
4.134646e+37,2.967366e-12,6.140909e+09
4.690648e+37,2.615631e-12,6.966701e+09
5.321418e+37,2.305590e-12,7.903541e+09
6.037010e+37,2.032298e-12,8.966361e+09
6.848831e+37,1.791402e-12,1.017210e+10
7.769820e+37,1.579059e-12,1.153999e+10
8.814658e+37,1.391887e-12,1.309181e+10
1.000000e+38,1.226901e-12,1.485232e+10
1.134474e+38,1.081471e-12,1.684957e+10
1.287031e+38,9.532797e-13,1.911540e+10
1.460103e+38,8.402835e-13,2.168592e+10
1.656449e+38,7.406812e-13,2.460211e+10
1.879198e+38,6.528852e-13,2.791045e+10
2.131901e+38,5.754960e-13,3.166368e+10
2.418587e+38,5.072800e-13,3.592162e+10
2.743823e+38,4.471500e-13,4.075215e+10
3.112796e+38,3.941474e-13,4.623225e+10
3.531386e+38,3.474275e-13,5.244928e+10
4.006265e+38,3.062455e-13,5.950234e+10
4.545004e+38,2.699449e-13,6.750385e+10
5.156188e+38,2.379472e-13,7.658136e+10
5.849561e+38,2.097423e-13,8.687956e+10
6.636175e+38,1.848807e-13,9.856259e+10
7.528567e+38,1.629660e-13,1.118167e+11
8.540963e+38,1.436490e-13,1.268531e+11
9.689500e+38,1.266217e-13,1.439116e+11
1.099249e+39,1.116127e-13,1.632639e+11
1.247069e+39,9.838276e-14,1.852187e+11
1.414767e+39,8.672104e-14,2.101257e+11
1.605016e+39,7.644163e-14,2.383822e+11
1.820849e+39,6.738069e-14,2.704384e+11
2.065706e+39,5.939377e-14,3.068053e+11
2.343490e+39,5.235358e-14,3.480626e+11
2.658628e+39,4.614789e-14,3.948679e+11
3.016144e+39,4.067779e-14,4.479674e+11
3.421737e+39,3.585608e-14,5.082073e+11
3.881871e+39,3.160591e-14,5.765479e+11
4.403881e+39,2.785953e-14,6.540786e+11
4.996089e+39,2.455722e-14,7.420351e+11
5.667932e+39,2.164635e-14,8.418195e+11
6.430121e+39,1.908052e-14,9.550223e+11
7.294805e+39,1.681883e-14,1.083448e+12
8.275766e+39,1.482522e-14,1.229143e+12
9.388641e+39,1.306793e-14,1.394431e+12
1.065117e+40,1.151893e-14,1.581946e+12
1.208347e+40,1.015354e-14,1.794676e+12
1.370839e+40,8.950001e-15,2.036013e+12
1.555181e+40,7.889120e-15,2.309804e+12
1.764312e+40,6.953990e-15,2.620412e+12
2.001566e+40,6.129705e-15,2.972790e+12
2.270724e+40,5.403125e-15,3.372552e+12
2.576077e+40,4.762670e-15,3.826073e+12
2.922493e+40,4.198131e-15,4.340580e+12
3.315492e+40,3.700509e-15,4.924275e+12
3.761339e+40,3.261872e-15,5.586461e+12
4.267141e+40,2.875229e-15,6.337694e+12
4.840960e+40,2.534416e-15,7.189949e+12
5.491943e+40,2.234001e-15,8.156810e+12
6.230466e+40,1.969196e-15,9.253688e+12
7.068302e+40,1.735779e-15,1.049807e+13
8.018804e+40,1.530030e-15,1.190978e+13
9.097124e+40,1.348669e-15,1.351134e+13
1.032045e+41,1.188805e-15,1.532826e+13
1.170828e+41,1.047891e-15,1.738951e+13
1.328274e+41,9.236804e-16,1.972795e+13
1.506892e+41,8.141927e-16,2.238085e+13
1.709530e+41,7.176831e-16,2.539049e+13
1.939417e+41,6.326131e-16,2.880485e+13
2.200218e+41,5.576268e-16,3.267835e+13
2.496090e+41,4.915290e-16,3.707273e+13
2.831749e+41,4.332660e-16,4.205805e+13
3.212546e+41,3.819092e-16,4.771376e+13
3.644549e+41,3.366399e-16,5.413002e+13
4.134646e+41,2.967366e-16,6.140909e+13
4.690648e+41,2.615631e-16,6.966701e+13
5.321418e+41,2.305590e-16,7.903541e+13
6.037010e+41,2.032298e-16,8.966361e+13
6.848831e+41,1.791402e-16,1.017210e+14
7.769820e+41,1.579059e-16,1.153999e+14
8.814658e+41,1.391887e-16,1.309181e+14
1.000000e+42,1.226901e-16,1.485232e+14
