# Hawking Temperature LUT
"# Columns: Mass [g], Temperature [K], Schwarzschild Radius [cm]"
Mass_g,Temperature_K,Radius_cm
1.000000e+14,1.226901e+12,1.485232e-14
1.134474e+14,1.081471e+12,1.684957e-14
1.287031e+14,9.532797e+11,1.911540e-14
1.460103e+14,8.402835e+11,2.168592e-14
1.656449e+14,7.406812e+11,2.460211e-14
1.879198e+14,6.528852e+11,2.791045e-14
2.131901e+14,5.754960e+11,3.166368e-14
2.418587e+14,5.072800e+11,3.592162e-14
2.743823e+14,4.471500e+11,4.075215e-14
3.112796e+14,3.941474e+11,4.623225e-14
3.531386e+14,3.474275e+11,5.244928e-14
4.006265e+14,3.062455e+11,5.950234e-14
4.545004e+14,2.699449e+11,6.750385e-14
5.156188e+14,2.379472e+11,7.658136e-14
5.849561e+14,2.097423e+11,8.687956e-14
6.636175e+14,1.848807e+11,9.856259e-14
7.528567e+14,1.629660e+11,1.118167e-13
8.540963e+14,1.436490e+11,1.268531e-13
9.689500e+14,1.266217e+11,1.439116e-13
1.099249e+15,1.116127e+11,1.632639e-13
1.247069e+15,9.838276e+10,1.852187e-13
1.414767e+15,8.672104e+10,2.101257e-13
1.605016e+15,7.644163e+10,2.383822e-13
1.820849e+15,6.738069e+10,2.704384e-13
2.065706e+15,5.939377e+10,3.068053e-13
2.343490e+15,5.235358e+10,3.480626e-13
2.658628e+15,4.614789e+10,3.948679e-13
3.016144e+15,4.067779e+10,4.479674e-13
3.421737e+15,3.585608e+10,5.082073e-13
3.881871e+15,3.160591e+10,5.765479e-13
4.403881e+15,2.785953e+10,6.540786e-13
4.996089e+15,2.455722e+10,7.420351e-13
5.667932e+15,2.164635e+10,8.418195e-13
6.430121e+15,1.908052e+10,9.550223e-13
7.294805e+15,1.681883e+10,1.083448e-12
8.275766e+15,1.482522e+10,1.229143e-12
9.388641e+15,1.306793e+10,1.394431e-12
1.065117e+16,1.151893e+10,1.581946e-12
1.208347e+16,1.015354e+10,1.794676e-12
1.370839e+16,8.950001e+09,2.036013e-12
1.555181e+16,7.889120e+09,2.309804e-12
1.764312e+16,6.953990e+09,2.620412e-12
2.001566e+16,6.129705e+09,2.972790e-12
2.270724e+16,5.403125e+09,3.372552e-12
2.576077e+16,4.762670e+09,3.826073e-12
2.922493e+16,4.198131e+09,4.340580e-12
3.315492e+16,3.700509e+09,4.924275e-12
3.761339e+16,3.261872e+09,5.586461e-12
4.267141e+16,2.875229e+09,6.337694e-12
4.840960e+16,2.534416e+09,7.189949e-12
5.491943e+16,2.234001e+09,8.156810e-12
6.230466e+16,1.969196e+09,9.253688e-12
7.068302e+16,1.735779e+09,1.049807e-11
8.018804e+16,1.530030e+09,1.190978e-11
9.097124e+16,1.348669e+09,1.351134e-11
1.032045e+17,1.188805e+09,1.532826e-11
1.170828e+17,1.047891e+09,1.738951e-11
1.328274e+17,9.236804e+08,1.972795e-11
1.506892e+17,8.141927e+08,2.238085e-11
1.709530e+17,7.176831e+08,2.539049e-11
1.939417e+17,6.326131e+08,2.880485e-11
2.200218e+17,5.576268e+08,3.267835e-11
2.496090e+17,4.915290e+08,3.707273e-11
2.831749e+17,4.332660e+08,4.205805e-11
3.212546e+17,3.819092e+08,4.771376e-11
3.644549e+17,3.366399e+08,5.413002e-11
4.134646e+17,2.967366e+08,6.140909e-11
4.690648e+17,2.615631e+08,6.966701e-11
5.321418e+17,2.305590e+08,7.903541e-11
6.037010e+17,2.032298e+08,8.966361e-11
6.848831e+17,1.791402e+08,1.017210e-10
7.769820e+17,1.579059e+08,1.153999e-10
8.814658e+17,1.391887e+08,1.309181e-10
1.000000e+18,1.226901e+08,1.485232e-10
1.134474e+18,1.081471e+08,1.684957e-10
1.287031e+18,9.532797e+07,1.911540e-10
1.460103e+18,8.402835e+07,2.168592e-10
1.656449e+18,7.406812e+07,2.460211e-10
1.879198e+18,6.528852e+07,2.791045e-10
2.131901e+18,5.754960e+07,3.166368e-10
2.418587e+18,5.072800e+07,3.592162e-10
2.743823e+18,4.471500e+07,4.075215e-10
3.112796e+18,3.941474e+07,4.623225e-10
3.531386e+18,3.474275e+07,5.244928e-10
4.006265e+18,3.062455e+07,5.950234e-10
4.545004e+18,2.699449e+07,6.750385e-10
5.156188e+18,2.379472e+07,7.658136e-10
5.849561e+18,2.097423e+07,8.687956e-10
6.636175e+18,1.848807e+07,9.856259e-10
7.528567e+18,1.629660e+07,1.118167e-09
8.540963e+18,1.436490e+07,1.268531e-09
9.689500e+18,1.266217e+07,1.439116e-09
1.099249e+19,1.116127e+07,1.632639e-09
1.247069e+19,9.838276e+06,1.852187e-09
1.414767e+19,8.672104e+06,2.101257e-09
1.605016e+19,7.644163e+06,2.383822e-09
1.820849e+19,6.738069e+06,2.704384e-09
2.065706e+19,5.939377e+06,3.068053e-09
2.343490e+19,5.235358e+06,3.480626e-09
2.658628e+19,4.614789e+06,3.948679e-09
3.016144e+19,4.067779e+06,4.479674e-09
3.421737e+19,3.585608e+06,5.082073e-09
3.881871e+19,3.160591e+06,5.765479e-09
4.403881e+19,2.785953e+06,6.540786e-09
4.996089e+19,2.455722e+06,7.420351e-09
5.667932e+19,2.164635e+06,8.418195e-09
6.430121e+19,1.908052e+06,9.550223e-09
7.294805e+19,1.681883e+06,1.083448e-08
8.275766e+19,1.482522e+06,1.229143e-08
9.388641e+19,1.306793e+06,1.394431e-08
1.065117e+20,1.151893e+06,1.581946e-08
1.208347e+20,1.015354e+06,1.794676e-08
1.370839e+20,8.950001e+05,2.036013e-08
1.555181e+20,7.889120e+05,2.309804e-08
1.764312e+20,6.953990e+05,2.620412e-08
2.001566e+20,6.129705e+05,2.972790e-08
2.270724e+20,5.403125e+05,3.372552e-08
2.576077e+20,4.762670e+05,3.826073e-08
2.922493e+20,4.198131e+05,4.340580e-08
3.315492e+20,3.700509e+05,4.924275e-08
3.761339e+20,3.261872e+05,5.586461e-08
4.267141e+20,2.875229e+05,6.337694e-08
4.840960e+20,2.534416e+05,7.189949e-08
5.491943e+20,2.234001e+05,8.156810e-08
6.230466e+20,1.969196e+05,9.253688e-08
7.068302e+20,1.735779e+05,1.049807e-07
8.018804e+20,1.530030e+05,1.190978e-07
9.097124e+20,1.348669e+05,1.351134e-07
1.032045e+21,1.188805e+05,1.532826e-07
1.170828e+21,1.047891e+05,1.738951e-07
1.328274e+21,9.236804e+04,1.972795e-07
1.506892e+21,8.141927e+04,2.238085e-07
1.709530e+21,7.176831e+04,2.539049e-07
1.939417e+21,6.326131e+04,2.880485e-07
2.200218e+21,5.576268e+04,3.267835e-07
2.496090e+21,4.915290e+04,3.707273e-07
2.831749e+21,4.332660e+04,4.205805e-07
3.212546e+21,3.819092e+04,4.771376e-07
3.644549e+21,3.366399e+04,5.413002e-07
4.134646e+21,2.967366e+04,6.140909e-07
4.690648e+21,2.615631e+04,6.966701e-07
5.321418e+21,2.305590e+04,7.903541e-07
6.037010e+21,2.032298e+04,8.966361e-07
6.848831e+21,1.791402e+04,1.017210e-06
7.769820e+21,1.579059e+04,1.153999e-06
8.814658e+21,1.391887e+04,1.309181e-06
1.000000e+22,1.226901e+04,1.485232e-06
1.134474e+22,1.081471e+04,1.684957e-06
1.287031e+22,9.532797e+03,1.911540e-06
1.460103e+22,8.402835e+03,2.168592e-06
1.656449e+22,7.406812e+03,2.460211e-06
1.879198e+22,6.528852e+03,2.791045e-06
2.131901e+22,5.754960e+03,3.166368e-06
2.418587e+22,5.072800e+03,3.592162e-06
2.743823e+22,4.471500e+03,4.075215e-06
3.112796e+22,3.941474e+03,4.623225e-06
3.531386e+22,3.474275e+03,5.244928e-06
4.006265e+22,3.062455e+03,5.950234e-06
4.545004e+22,2.699449e+03,6.750385e-06
5.156188e+22,2.379472e+03,7.658136e-06
5.849561e+22,2.097423e+03,8.687956e-06
6.636175e+22,1.848807e+03,9.856259e-06
7.528567e+22,1.629660e+03,1.118167e-05
8.540963e+22,1.436490e+03,1.268531e-05
9.689500e+22,1.266217e+03,1.439116e-05
1.099249e+23,1.116127e+03,1.632639e-05
1.247069e+23,9.838276e+02,1.852187e-05
1.414767e+23,8.672104e+02,2.101257e-05
1.605016e+23,7.644163e+02,2.383822e-05
1.820849e+23,6.738069e+02,2.704384e-05
2.065706e+23,5.939377e+02,3.068053e-05
2.343490e+23,5.235358e+02,3.480626e-05
2.658628e+23,4.614789e+02,3.948679e-05
3.016144e+23,4.067779e+02,4.479674e-05
3.421737e+23,3.585608e+02,5.082073e-05
3.881871e+23,3.160591e+02,5.765479e-05
4.403881e+23,2.785953e+02,6.540786e-05
4.996089e+23,2.455722e+02,7.420351e-05
5.667932e+23,2.164635e+02,8.418195e-05
6.430121e+23,1.908052e+02,9.550223e-05
7.294805e+23,1.681883e+02,1.083448e-04
8.275766e+23,1.482522e+02,1.229143e-04
9.388641e+23,1.306793e+02,1.394431e-04
1.065117e+24,1.151893e+02,1.581946e-04
1.208347e+24,1.015354e+02,1.794676e-04
1.370839e+24,8.950001e+01,2.036013e-04
1.555181e+24,7.889120e+01,2.309804e-04
1.764312e+24,6.953990e+01,2.620412e-04
2.001566e+24,6.129705e+01,2.972790e-04
2.270724e+24,5.403125e+01,3.372552e-04
2.576077e+24,4.762670e+01,3.826073e-04
2.922493e+24,4.198131e+01,4.340580e-04
3.315492e+24,3.700509e+01,4.924275e-04
3.761339e+24,3.261872e+01,5.586461e-04
4.267141e+24,2.875229e+01,6.337694e-04
4.840960e+24,2.534416e+01,7.189949e-04
5.491943e+24,2.234001e+01,8.156810e-04
6.230466e+24,1.969196e+01,9.253688e-04
7.068302e+24,1.735779e+01,1.049807e-03
8.018804e+24,1.530030e+01,1.190978e-03
9.097124e+24,1.348669e+01,1.351134e-03
1.032045e+25,1.188805e+01,1.532826e-03
1.170828e+25,1.047891e+01,1.738951e-03
1.328274e+25,9.236804e+00,1.972795e-03
1.506892e+25,8.141927e+00,2.238085e-03
1.709530e+25,7.176831e+00,2.539049e-03
1.939417e+25,6.326131e+00,2.880485e-03
2.200218e+25,5.576268e+00,3.267835e-03
2.496090e+25,4.915290e+00,3.707273e-03
2.831749e+25,4.332660e+00,4.205805e-03
3.212546e+25,3.819092e+00,4.771376e-03
3.644549e+25,3.366399e+00,5.413002e-03
4.134646e+25,2.967366e+00,6.140909e-03
4.690648e+25,2.615631e+00,6.966701e-03
5.321418e+25,2.305590e+00,7.903541e-03
6.037010e+25,2.032298e+00,8.966361e-03
6.848831e+25,1.791402e+00,1.017210e-02
7.769820e+25,1.579059e+00,1.153999e-02
8.814658e+25,1.391887e+00,1.309181e-02
1.000000e+26,1.226901e+00,1.485232e-02
1.134474e+26,1.081471e+00,1.684957e-02
1.287031e+26,9.532797e-01,1.911540e-02
1.460103e+26,8.402835e-01,2.168592e-02
1.656449e+26,7.406812e-01,2.460211e-02
1.879198e+26,6.528852e-01,2.791045e-02
2.131901e+26,5.754960e-01,3.166368e-02
2.418587e+26,5.072800e-01,3.592162e-02
2.743823e+26,4.471500e-01,4.075215e-02
3.112796e+26,3.941474e-01,4.623225e-02
3.531386e+26,3.474275e-01,5.244928e-02
4.006265e+26,3.062455e-01,5.950234e-02
4.545004e+26,2.699449e-01,6.750385e-02
5.156188e+26,2.379472e-01,7.658136e-02
5.849561e+26,2.097423e-01,8.687956e-02
6.636175e+26,1.848807e-01,9.856259e-02
7.528567e+26,1.629660e-01,1.118167e-01
8.540963e+26,1.436490e-01,1.268531e-01
9.689500e+26,1.266217e-01,1.439116e-01
1.099249e+27,1.116127e-01,1.632639e-01
1.247069e+27,9.838276e-02,1.852187e-01
1.414767e+27,8.672104e-02,2.101257e-01
1.605016e+27,7.644163e-02,2.383822e-01
1.820849e+27,6.738069e-02,2.704384e-01
2.065706e+27,5.939377e-02,3.068053e-01
2.343490e+27,5.235358e-02,3.480626e-01
2.658628e+27,4.614789e-02,3.948679e-01
3.016144e+27,4.067779e-02,4.479674e-01
3.421737e+27,3.585608e-02,5.082073e-01
3.881871e+27,3.160591e-02,5.765479e-01
4.403881e+27,2.785953e-02,6.540786e-01
4.996089e+27,2.455722e-02,7.420351e-01
5.667932e+27,2.164635e-02,8.418195e-01
6.430121e+27,1.908052e-02,9.550223e-01
7.294805e+27,1.681883e-02,1.083448e+00
8.275766e+27,1.482522e-02,1.229143e+00
9.388641e+27,1.306793e-02,1.394431e+00
1.065117e+28,1.151893e-02,1.581946e+00
1.208347e+28,1.015354e-02,1.794676e+00
1.370839e+28,8.950001e-03,2.036013e+00
1.555181e+28,7.889120e-03,2.309804e+00
1.764312e+28,6.953990e-03,2.620412e+00
2.001566e+28,6.129705e-03,2.972790e+00
2.270724e+28,5.403125e-03,3.372552e+00
2.576077e+28,4.762670e-03,3.826073e+00
2.922493e+28,4.198131e-03,4.340580e+00
3.315492e+28,3.700509e-03,4.924275e+00
3.761339e+28,3.261872e-03,5.586461e+00
4.267141e+28,2.875229e-03,6.337694e+00
4.840960e+28,2.534416e-03,7.189949e+00
5.491943e+28,2.234001e-03,8.156810e+00
6.230466e+28,1.969196e-03,9.253688e+00
7.068302e+28,1.735779e-03,1.049807e+01
8.018804e+28,1.530030e-03,1.190978e+01
9.097124e+28,1.348669e-03,1.351134e+01
1.032045e+29,1.188805e-03,1.532826e+01
1.170828e+29,1.047891e-03,1.738951e+01
1.328274e+29,9.236804e-04,1.972795e+01
1.506892e+29,8.141927e-04,2.238085e+01
1.709530e+29,7.176831e-04,2.539049e+01
1.939417e+29,6.326131e-04,2.880485e+01
2.200218e+29,5.576268e-04,3.267835e+01
2.496090e+29,4.915290e-04,3.707273e+01
2.831749e+29,4.332660e-04,4.205805e+01
3.212546e+29,3.819092e-04,4.771376e+01
3.644549e+29,3.366399e-04,5.413002e+01
4.134646e+29,2.967366e-04,6.140909e+01
4.690648e+29,2.615631e-04,6.966701e+01
5.321418e+29,2.305590e-04,7.903541e+01
6.037010e+29,2.032298e-04,8.966361e+01
6.848831e+29,1.791402e-04,1.017210e+02
7.769820e+29,1.579059e-04,1.153999e+02
8.814658e+29,1.391887e-04,1.309181e+02
1.000000e+30,1.226901e-04,1.485232e+02
1.134474e+30,1.081471e-04,1.684957e+02
1.287031e+30,9.532797e-05,1.911540e+02
1.460103e+30,8.402835e-05,2.168592e+02
1.656449e+30,7.406812e-05,2.460211e+02
1.879198e+30,6.528852e-05,2.791045e+02
2.131901e+30,5.754960e-05,3.166368e+02
2.418587e+30,5.072800e-05,3.592162e+02
2.743823e+30,4.471500e-05,4.075215e+02
3.112796e+30,3.941474e-05,4.623225e+02
3.531386e+30,3.474275e-05,5.244928e+02
4.006265e+30,3.062455e-05,5.950234e+02
4.545004e+30,2.699449e-05,6.750385e+02
5.156188e+30,2.379472e-05,7.658136e+02
5.849561e+30,2.097423e-05,8.687956e+02
6.636175e+30,1.848807e-05,9.856259e+02
7.528567e+30,1.629660e-05,1.118167e+03
8.540963e+30,1.436490e-05,1.268531e+03
9.689500e+30,1.266217e-05,1.439116e+03
1.099249e+31,1.116127e-05,1.632639e+03
1.247069e+31,9.838276e-06,1.852187e+03
1.414767e+31,8.672104e-06,2.101257e+03
1.605016e+31,7.644163e-06,2.383822e+03
